u,v,time,k
2,8,0.005887224938282351,0
2,11,0.005887224938282351,0
2,17,0.005887224938282351,0
4,19,0.005887224938282351,0
1,5,0.010455895133127485,0
1,10,0.010455895133127485,0
2,9,0.010455895133127485,0
4,15,0.010455895133127485,0
10,11,0.010455895133127485,0
11,14,0.010455895133127485,0
0,13,0.016661514672305523,0
1,19,0.016661514672305523,0
2,5,0.016661514672305523,0
2,15,0.016661514672305523,0
3,7,0.016661514672305523,0
3,15,0.016661514672305523,0
7,14,0.016661514672305523,0
8,16,0.016661514672305523,0
18,19,0.016661514672305523,0
1,13,0.026540737977231443,0
2,4,0.026540737977231443,0
3,10,0.026540737977231443,0
3,18,0.026540737977231443,0
4,17,0.026540737977231443,0
6,13,0.026540737977231443,0
9,13,0.026540737977231443,0
10,13,0.026540737977231443,0
10,19,0.026540737977231443,0
17,19,0.026540737977231443,0
0,10,0.03666302370696866,0
3,4,0.03666302370696866,0
8,11,0.03666302370696866,0
8,19,0.03666302370696866,0
11,19,0.03666302370696866,0
12,13,0.03666302370696866,0
4,9,0.03982386254668396,0
8,9,0.03982386254668396,0
11,16,0.03982386254668396,0
12,17,0.03982386254668396,0
1,13,0.03982386254668396,1
1,12,0.04099452877960451,0
2,16,0.04099452877960451,0
3,6,0.04099452877960451,0
4,11,0.04099452877960451,0
7,17,0.04099452877960451,0
9,12,0.04099452877960451,0
11,13,0.04099452877960451,0
0,13,0.04099452877960451,1
0,9,0.04101727262855187,0
1,9,0.04101727262855187,0
4,8,0.04101727262855187,0
5,12,0.04101727262855187,0
6,11,0.04101727262855187,0
7,19,0.04101727262855187,0
12,15,0.04101727262855187,0
3,6,0.04101727262855187,1
2,13,0.04128411566091787,0
5,7,0.04128411566091787,0
5,15,0.04128411566091787,0
9,14,0.04128411566091787,0
11,12,0.04128411566091787,0
12,16,0.04128411566091787,0
14,15,0.04128411566091787,0
12,13,0.04128411566091787,1
3,8,0.060983090617853467,0
3,14,0.060983090617853467,0
3,17,0.060983090617853467,0
4,10,0.060983090617853467,0
9,18,0.060983090617853467,0
14,18,0.060983090617853467,0
17,18,0.060983090617853467,0
3,8,0.060983090617853467,1
0,14,0.06316087391839276,0
3,5,0.06316087391839276,0
6,7,0.06316087391839276,0
8,18,0.06316087391839276,0
1,4,0.07355253149570028,0
0,2,0.08010720197134918,0
1,15,0.08010720197134918,0
6,14,0.08010720197134918,0
7,11,0.08010720197134918,0
0,4,0.09113449692419376,0
6,9,0.09113449692419376,0
8,10,0.09113449692419376,0
9,11,0.09113449692419376,0
10,17,0.09113449692419376,0
0,16,0.09703533190957349,0
5,17,0.09703533190957349,0
5,19,0.09703533190957349,0
7,13,0.09703533190957349,0
8,17,0.09703533190957349,0
10,14,0.09703533190957349,0
12,14,0.09703533190957349,0
1,11,0.09777134626326885,0
7,10,0.09777134626326885,0
8,13,0.09777134626326885,0
12,19,0.09777134626326885,0
14,17,0.09777134626326885,0
2,16,0.09777134626326885,1
2,19,0.10199157952762176,0
4,14,0.10199157952762176,0
7,8,0.10199157952762176,0
7,18,0.10199157952762176,0
9,19,0.10199157952762176,0
13,15,0.10199157952762176,0
15,18,0.10199157952762176,0
0,7,0.1023501515246708,0
1,6,0.1023501515246708,0
6,19,0.1023501515246708,0
10,18,0.1023501515246708,0
13,16,0.1023501515246708,0
7,14,0.1023501515246708,1
0,1,0.1026518365250732,0
5,16,0.1026518365250732,0
5,18,0.1026518365250732,0
11,17,0.1026518365250732,0
4,19,0.1026518365250732,1
7,15,0.10950287840737376,0
2,14,0.11628388955608836,0
9,13,0.11628388955608836,1
4,16,0.12174418401917078,0
5,13,0.12174418401917078,0
11,15,0.12174418401917078,0
12,18,0.12174418401917078,0
0,13,0.12174418401917078,1
0,8,0.12743645705238713,0
1,16,0.12743645705238713,0
3,19,0.12743645705238713,0
6,17,0.12743645705238713,0
3,16,0.12870128245483115,0
4,12,0.12870128245483115,0
7,9,0.12870128245483115,0
10,16,0.12870128245483115,0
4,6,0.14186343509014349,0
5,10,0.14186343509014349,0
6,16,0.14186343509014349,0
9,13,0.14186343509014349,1
0,15,0.14195129530729042,0
7,16,0.14195129530729042,0
0,12,0.1445651479822884,0
4,5,0.1445651479822884,0
13,14,0.1445651479822884,0
8,19,0.1445651479822884,1
9,17,0.14866016694060405,0
0,3,0.16158550688337772,0
0,5,0.16158550688337772,0
0,18,0.16158550688337772,0
1,14,0.16158550688337772,0
12,14,0.16158550688337772,1
2,18,0.16370546228133126,0
8,15,0.16370546228133126,0
9,15,0.16370546228133126,0
0,17,0.17195210875361858,0
1,18,0.17195210875361858,0
13,17,0.17195210875361858,0
3,19,0.17195210875361858,1
1,7,0.17347700233171176,0
12,13,0.17347700233171176,1
2,12,0.1872795679445041,0
4,13,0.1872795679445041,0
5,11,0.1872795679445041,0
13,18,0.1872795679445041,0
4,11,0.1872795679445041,1
6,8,0.205709968315849,0
15,17,0.205709968315849,0
9,11,0.205709968315849,1
7,12,0.2075557460259264,0
5,16,0.2075557460259264,1
1,3,0.21579141601647048,0
2,19,0.21579141601647048,1
3,16,0.23849325493275983,1
0,11,0.24049535834564975,0
16,19,0.24049535834564975,0
8,18,0.24049535834564975,1
2,10,0.2539209983462698,0
5,9,0.2539209983462698,0
11,12,0.2539209983462698,1
1,17,0.2595861145681959,0
3,9,0.2595861145681959,0
5,8,0.2595861145681959,0
6,15,0.2595861145681959,0
1,5,0.2595861145681959,1
0,19,0.25990762387406446,0
5,14,0.25990762387406446,0
0,4,0.25990762387406446,1
3,11,0.2701741367133907,0
0,19,0.2701741367133907,1
0,17,0.27868294371125446,1
3,8,0.28013625173448464,1
1,2,0.2914363476304934,0
5,6,0.2914363476304934,0
8,10,0.2914363476304934,1
1,8,0.30194597457849176,0
1,16,0.30194597457849176,1
6,10,0.3058152316496107,0
3,8,0.3058152316496107,1
3,13,0.3217617729882966,0
0,10,0.3217617729882966,1
0,6,0.33161926859988106,0
3,12,0.33161926859988106,0
16,17,0.33161926859988106,0
0,11,0.33161926859988106,1
5,15,0.33235756807038314,1
2,7,0.3335920044255723,0
13,18,0.3335920044255723,1
0,2,0.33411389929968927,1
4,19,0.33731283549875885,1
11,15,0.34465773210918965,1
14,16,0.34671615605067474,0
5,6,0.34671615605067474,1
2,4,0.3505601791443649,1
2,15,0.3517932325502862,1
4,18,0.35341513401278013,0
8,14,0.35341513401278013,0
4,12,0.35341513401278013,1
10,12,0.3554475281575843,0
7,10,0.3554475281575843,1
9,16,0.3619770532047328,0
12,18,0.3619770532047328,1
11,18,0.3660911360130082,0
8,11,0.3660911360130082,1
8,12,0.37911796063097947,0
5,15,0.37911796063097947,1
4,7,0.3797810693217751,0
9,10,0.3797810693217751,0
13,19,0.3797810693217751,0
2,11,0.3797810693217751,1
8,17,0.38766863325883083,1
15,16,0.3898617259235253,0
1,13,0.3898617259235253,1
4,16,0.3902554029167783,1
4,19,0.3904302219482322,1
7,10,0.4260455117488498,1
3,16,0.4264279548560919,1
14,19,0.4273690201594934,0
1,10,0.4273690201594934,1
8,17,0.4519147922429215,1
2,6,0.45312274088590776,0
1,8,0.45312274088590776,1
2,3,0.45509844236833474,0
0,11,0.45509844236833474,1
1,9,0.47042739562528557,1
5,16,0.4760940896237114,1
2,4,0.47916713369897534,1
14,18,0.48809934323973153,1
1,11,0.4916619868633856,1
5,7,0.4928194472646095,1
7,15,0.494775347387846,1
4,17,0.5163145294463711,1
14,17,0.5224492192426254,1
5,15,0.5233993961462805,1
1,18,0.544422212169941,1
1,13,0.546173863070454,1
8,12,0.5513552433276039,1
8,11,0.5678106027982309,1
0,14,0.5699761712583654,1
6,18,0.57110893028676,0
17,19,0.57110893028676,1
5,16,0.5722913855153449,1
9,17,0.5793798575733525,1
16,18,0.5797250132234959,0
9,10,0.5797250132234959,1
8,14,0.5821223397069462,1
4,9,0.5883388385556514,1
2,14,0.5909617833953866,1
3,6,0.5993839383662292,1
6,12,0.599803110223217,0
2,14,0.599803110223217,1
1,12,0.6030725839324774,1
9,16,0.6037017683564315,1
2,16,0.6040755680725156,1
6,7,0.606423474344504,1
5,6,0.6199369457398607,1
7,18,0.6258698673480825,1
10,16,0.6314492549795309,1
10,15,0.6410430589106105,0
2,8,0.6410430589106105,1
5,10,0.6525022058012374,1
9,13,0.6718646305193678,1
11,16,0.6733034299605624,1
15,19,0.6780374923440213,0
5,10,0.6780374923440213,1
10,16,0.6889790168834852,1
1,19,0.6910453903982247,1
13,18,0.6940332511272245,1
0,8,0.6972584350322927,1
14,17,0.6975326365198882,1
4,9,0.69782582893444,1
10,17,0.702071742201279,1
3,13,0.7022151197978337,1
1,13,0.7022677525274172,1
1,7,0.7044170420068043,1
