u,v,time,k
0,1,0.001948748530693004,0
0,16,0.001948748530693004,0
4,12,0.001948748530693004,0
7,13,0.001948748530693004,0
8,16,0.001948748530693004,0
9,18,0.001948748530693004,0
12,16,0.001948748530693004,0
12,18,0.001948748530693004,0
13,15,0.001948748530693004,0
0,9,0.03322234580311256,0
0,12,0.03322234580311256,0
0,19,0.03322234580311256,0
1,8,0.03322234580311256,0
3,15,0.03322234580311256,0
5,6,0.03322234580311256,0
7,11,0.03322234580311256,0
7,12,0.03322234580311256,0
1,17,0.04228033381390409,0
3,8,0.04228033381390409,0
3,19,0.04228033381390409,0
4,15,0.04228033381390409,0
5,18,0.04228033381390409,0
5,19,0.04228033381390409,0
8,17,0.04228033381390409,0
0,2,0.1724256952537369,0
1,2,0.1724256952537369,0
1,6,0.1724256952537369,0
2,9,0.1724256952537369,0
3,14,0.1724256952537369,0
5,13,0.1724256952537369,0
6,9,0.1724256952537369,0
8,10,0.1724256952537369,0
14,18,0.1724256952537369,0
15,17,0.1724256952537369,0
1,7,0.20794848784544276,0
1,14,0.20794848784544276,0
3,9,0.20794848784544276,0
3,13,0.20794848784544276,0
5,11,0.20794848784544276,0
7,10,0.20794848784544276,0
10,16,0.20794848784544276,0
10,18,0.20794848784544276,0
15,16,0.20794848784544276,0
0,7,0.22982145393187872,0
2,4,0.22982145393187872,0
3,18,0.22982145393187872,0
10,17,0.22982145393187872,0
11,15,0.22982145393187872,0
12,15,0.22982145393187872,0
12,17,0.22982145393187872,0
13,16,0.22982145393187872,0
14,16,0.22982145393187872,0
15,18,0.22982145393187872,0
16,17,0.22982145393187872,0
17,19,0.22982145393187872,0
2,5,0.3021690444244056,0
2,12,0.3021690444244056,0
3,4,0.3021690444244056,0
3,5,0.3021690444244056,0
3,16,0.3021690444244056,0
5,7,0.3021690444244056,0
5,9,0.3021690444244056,0
6,10,0.3021690444244056,0
6,11,0.3021690444244056,0
7,18,0.3021690444244056,0
9,14,0.3021690444244056,0
9,16,0.3021690444244056,0
10,14,0.3021690444244056,0
0,11,0.31005301643924343,0
6,16,0.31005301643924343,0
12,14,0.31005301643924343,0
14,17,0.31005301643924343,0
3,19,0.3758280948985336,1
2,8,0.3758280948985336,0
4,10,0.3758280948985336,0
4,16,0.3758280948985336,0
6,14,0.3758280948985336,0
11,12,0.3758280948985336,0
3,16,0.4208670649347391,1
1,4,0.4208670649347391,0
1,10,0.4208670649347391,0
2,17,0.4208670649347391,0
6,17,0.4208670649347391,0
8,15,0.4208670649347391,0
11,17,0.4208670649347391,0
13,17,0.4208670649347391,0
17,18,0.4208670649347391,0
5,16,0.42595980570853176,0
6,12,0.42595980570853176,0
6,13,0.42595980570853176,0
11,19,0.42595980570853176,0
3,6,0.4472627503548893,0
6,15,0.4472627503548893,0
8,9,0.4472627503548893,0
11,16,0.4472627503548893,0
10,14,0.48371749661584007,1
0,14,0.48371749661584007,0
1,19,0.48371749661584007,0
5,14,0.48371749661584007,0
9,18,0.5203115927244428,1
0,4,0.5203115927244428,0
0,8,0.5203115927244428,0
6,7,0.5203115927244428,0
7,8,0.5203115927244428,0
18,19,0.5203115927244428,0
5,15,0.5208221641545159,0
12,13,0.5208221641545159,0
1,18,0.5437926693509741,0
2,16,0.5437926693509741,0
4,18,0.5437926693509741,0
9,19,0.5437926693509741,0
12,19,0.5437926693509741,0
